anomalyId,name,oncePerTurnHint,arrivalText,resolveText,sourceHeaderRaw
A001,红雾异变,异变卡（hint：一回合只能解决一次异变）,【降临】人外角色抓1张牌，人类角色弃1张牌，蕾米莉雅还可以回复所有生命,【8魔力，每个友方玩家生命减少1；对手队伍有蕾米莉雅时，需要额外支付②】扣除对手1点击杀分；你可以禁锢对手队伍中的蕾米莉雅和另一个人外角色。,红雾异变：【降临】人外角色抓1张牌，人类角色弃1张牌，蕾米莉雅还可以回复所有生命
A002,春雪异变,异变卡（hint：一回合只能解决一次异变）,【降临】每位玩家可以直接召唤一张樱花饼；幽幽子可以改为选择从召唤区直接召唤一张费用不高于5的宝具卡。,【8魔力，每个友方玩家弃1张牌；友方队伍中魂魄妖梦不需要因此弃牌】扣除对手1点击杀分；你可以将手牌或弃牌堆中最多2张任意卡放逐，并可以召唤等量樱花饼卡替代,春雪异变：【降临】每位玩家可以直接召唤一张樱花饼；幽幽子可以改为选择从召唤区直接召唤一张费用不高于5的宝具卡。
A003,花开异变,异变卡（hint：一回合只能解决一次异变）,【降临】当前回合玩家选择一名对手【禁锢】；拥有风见幽香的队伍获得1灵脉,【8魔力，【禁锢】你自己；风见幽香不需要禁锢自己】扣除对手1点击杀分；获得2灵脉。,花开异变：【降临】当前回合玩家选择一名对手【禁锢】；拥有风见幽香的队伍获得1灵脉
A004,永夜异变,异变卡（hint：一回合只能解决一次异变）,【降临】每位玩家将自己阵地区一张防御牌拿回手中。然后辉夜可以将自己的手牌抓满至6张。,【8魔力，每个友方玩家弃掉1张含技能值的手牌】扣除对手1点击杀分。本 回合结束后，你立刻开始一个额外的回合,永夜异变：【降临】每位玩家将自己阵地区一张防御牌拿回手中。然后辉夜可以将自己的手牌抓满至6张。
A005,温泉异变,异变卡（hint：一回合只能解决一次异变）,【降临】当前玩家将召唤区一张卡直接无消耗召唤,【8魔力，每位友方玩家将2张手牌如防御牌般放在阵地区】对手击杀分-1。将召唤区任意召唤费用7以下的宝具牌置入手中。,温泉异变：【降临】当前玩家将召唤区一张卡直接无消耗召唤
A006,瓦拉齐亚之夜,异变卡（hint：一回合只能解决一次异变）,【降临】所有人类玩家将1张防御牌置入弃牌堆，人外玩家抓1张牌,【8魔力，对手的TM角色可以直接启动】对手击杀分-1。对手的人类玩家弃一张牌，你队伍中的人外玩家回复所有生命,瓦拉齐亚之夜：【降临】所有人类玩家将1张防御牌置入弃牌堆，人外玩家抓1张牌
A007,噩梦倒影,异变卡（hint：一回合只能解决一次异变）,【降临】所有玩家从手牌中放逐1张牌，莲可以从弃牌堆中再放逐1张,【8魔力，每位对手可以抓1张牌】扣除对手1点击杀分。魅惑目标对手。,噩梦倒影：【降临】所有玩家从手牌中放逐1张牌，莲可以从弃牌堆中再放逐1张
A008,矛盾螺旋,异变卡（hint：一回合只能解决一次异变）,【降临】封印击杀分多的一方所有玩家，两仪式不会被封印,【8魔力，对手可以从其弃牌堆中将一张牌置入手牌】对手击杀分-1， 禁锢目标对手；你队伍中的两仪式可以抓1张牌,矛盾螺旋：【降临】封印击杀分多的一方所有玩家，两仪式不会被封印
A009,666,异变卡（hint：一回合只能解决一次异变）,【降临】放逐当前召唤区所有宝具卡,【8魔力，每位对手可以获得【结界】并召唤1张樱花饼】扣除对手1点击杀分；从间隙中召唤一张牌到手中,666：【降临】放逐当前召唤区所有宝具卡
A010,命运长夜,异变卡（hint：一回合只能解决一次异变）,【降临】命运长夜被解决前，异变卡组不会再因任何效果发生变动。每位玩家将手牌、弃牌堆、阵地区或间隙区的一张牌面朝下盖放在自己的角色卡下方；当任意玩家击杀对手时，该玩家队伍选择一名友方玩家将自己盖放的牌放逐；此异变被解决时，放逐所有以此法盖放的牌,【先将盖放在角色卡下的牌全部放逐的一方解决此异变】 选择2项：获得3灵脉；己方击杀分+1；将召唤区一张牌直接置于手中,命运长夜：【降临】命运长夜被解决前，异变卡组不会再因任何效果发生变动。每位玩家将手牌、弃牌堆、阵地区或间隙区的一张牌面朝下盖放在自己的角色卡下方；当任意玩家击杀对手时，该玩家队伍选择一名友方玩家将自己盖放的牌放逐；此异变被解决时，放逐所有以此法盖放的牌
